халтархай<ADJ>	халтархай
атыылас<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	атыылас

бул<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бул

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	сиэ

аҕал<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аҕал

быс<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	быс

ыйаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыйаа

уур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уур

ыл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыл

бар<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бар

көр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	көр

ис<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ис

уруһуйдаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уруһуйдаа

кут<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кут

кэт<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэт

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аһаа

биэр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	биэр

сиэ<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	сиэтин

ыллаа<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	ыллаатин

тоҥ<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	тоҥмоппут

аах<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	аахпаппыт

балыктаа<VERB><Number=Plur><Person=1><Tense=Fut>	балыктыахпыт

бар<VERB><Number=Plur><Person=1><Tense=NearPast>	бардыбыт

үөрэн<VERB><Number=Plur><Person=1><Tense=Pres>	үөрэнэбит

утуй<VERB><Number=Plur><Person=1><Tense=Pres>	утуйабыт

ыл<VERB><Number=Plur><Person=1><Tense=Pres>	ылабыт

оҥор<VERB><Number=Plur><Person=1><Tense=Pres>	оҥоробут

ыйаа<VERB><Number=Plur><Person=1><Tense=Pres>	ыйыыбыт

быс<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=NearPast>	быспатыгыт

көлүй<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	көлүйбэккит

кэл<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	кэлбэккит

бар<VERB><Number=Plur><Person=2><Tense=Pres>	бараҕыт

биэр<VERB><Number=Plur><Person=2><Tense=Pres>	биэрэҕит

тиэй<VERB><Number=Plur><Person=2><Tense=Pres>	тиэйэҕит

үөрэн<VERB><Number=Plur><Person=2><Tense=Pres>	үөрэнэҕит

бил<VERB><Number=Plur><Person=2><Tense=Pres>	билэҕит

тик<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	тикпэттэр

киир<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	киирбэттэр

тиэй<VERB><Number=Plur><Person=3><Tense=Fut>	тиэйиэхтэрэ

кэр<VERB><Number=Plur><Person=3><Tense=Fut>	кэрдиэхтэрэ

оҕус<VERB><Number=Plur><Person=3><Tense=Fut>	охсуохтара

көлүй<VERB><Number=Plur><Person=3><Tense=Fut>	көлүйүөхтэрэ

бултаа<VERB><Number=Plur><Person=3><Tense=NearPast>	бултаатылар

кэл<VERB><Number=Plur><Person=3><Tense=NearPast>	кэллилэр

бар<VERB><Number=Plur><Person=3><Tense=NearPast>	бардылар

аһаа<VERB><Number=Plur><Person=3><Tense=NearPast>	аһаатылар

утар<VERB><Number=Plur><Person=3><Tense=PastPerf>	утарбыттара

ыйаа<VERB><Number=Plur><Person=3><Tense=Pres>	ыйыыллар

туруор<VERB><Number=Plur><Person=3><Tense=Pres>	туруораллар

тур<VERB><Number=Plur><Person=3><Tense=Pres>	тураллар

