тэлиэгэ<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэлиэгэлэргит
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэлиэгэлэрбит
тэлиэгэ<NOUN><Number=Plur><Case=Com>	тэлиэгэлэрдиин
тэлиэгэ<NOUN><Number=Plur><Int=Yes><Case=Nom>	тэлиэгэлэрий
тэлиэгэ<NOUN><Number=Plur><Case=Abl>	тэлиэгэлэртан
тэлиэгэ<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тэлиэгэлэрыахха
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэлиэгэлэрлэрин
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэлиэгэлэрлэрэ
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэлиэгэлэрэ
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэлиэгэлэртинэн
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэлиэгэлэртигэр
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэлиэгэлэрин
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэлиэгэлэрҥ
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэлиэгэлэрм
тэлиэгэ<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэлиэгэлэрбин
тэлиэгэ<NOUN><Number=Plur><Case=Nom>	тэлиэгэлэр
тэлиэгэ<NOUN><Number=Plur><Case=Acc>	тэлиэгэлэри
тэлиэгэ<NOUN><Number=Plur><Case=Cmp>	тэлиэгэлэрдээҕэр
тэлиэгэ<NOUN><Number=Plur><Case=Dat>	тэлиэгэлэргэ
